obs.no,agent_x,agent_y,gem_x,gem_y,rewards,action
186,250,200,200,200,-50.0,0
187,200,200,200,200,10000.0,3
188,200,250,200,200,-50.0,0
189,200,200,200,200,10000.0,2
190,250,200,200,200,-50.0,1
191,200,200,200,200,10000.0,3
192,250,200,200,200,-50.0,1
193,200,200,200,200,10000.0,3
194,250,200,200,200,-50.0,1
195,200,200,200,200,10000.0,3
196,200,250,200,200,-50.0,0
197,200,200,200,200,10000.0,2
198,250,200,200,200,-50.0,1
199,200,200,200,200,10000.0,3
200,250,200,200,200,-50.0,1
201,200,200,200,200,10000.0,3
202,250,200,200,200,-50.0,1
203,200,200,200,200,10000.0,3
204,250,200,200,200,-50.0,1
205,200,200,200,200,10000.0,3
206,200,250,200,200,-50.0,0
207,200,200,200,200,10000.0,2
208,250,200,200,200,-50.0,1
209,200,200,200,200,10000.0,3
210,200,250,200,200,-50.0,0
211,200,200,200,200,10000.0,2
212,200,250,200,200,-50.0,0
213,200,200,200,200,10000.0,2
214,250,200,200,200,-50.0,1
215,200,200,200,200,10000.0,3
216,200,250,200,200,-50.0,0
217,200,200,200,200,10000.0,2
218,250,200,200,200,-50.0,1
219,200,200,200,200,10000.0,3
220,200,250,200,200,-50.0,0
221,200,200,200,200,10000.0,2
222,250,200,200,200,-50.0,1
223,200,200,200,200,10000.0,3
224,200,250,200,200,-50.0,0
225,200,200,200,200,10000.0,2
226,250,200,200,200,-50.0,1
227,200,200,200,200,10000.0,3
228,250,200,200,200,-50.0,1
229,200,200,200,200,10000.0,3
230,200,250,200,200,-50.0,0
231,200,200,200,200,10000.0,2
232,250,200,200,200,-50.0,1
233,200,200,200,200,10000.0,3
234,200,250,200,200,-50.0,0
235,200,200,200,200,10000.0,2
236,150,200,200,200,-50.0,3
237,200,200,200,200,10000.0,1
238,200,250,200,200,-50.0,0
239,200,200,200,200,10000.0,2
240,200,250,200,200,-50.0,0
241,200,200,200,200,10000.0,2
242,200,250,200,200,-50.0,0
243,200,200,200,200,10000.0,2
244,250,200,200,200,-50.0,1
245,200,200,200,200,10000.0,3
246,250,200,200,200,-50.0,1
247,200,200,200,200,10000.0,3
248,250,200,200,200,-50.0,1
249,200,200,200,200,10000.0,3
250,200,250,200,200,-50.0,0
251,200,200,200,200,10000.0,2
252,250,200,200,200,-50.0,1
253,200,200,200,200,10000.0,3
254,250,200,200,200,-50.0,1
255,200,200,200,200,10000.0,3
256,200,250,200,200,-50.0,0
257,200,200,200,200,10000.0,2
258,250,200,200,200,-50.0,1
259,200,200,200,200,10000.0,3
260,250,200,200,200,-50.0,1
261,200,200,200,200,10000.0,3
262,200,250,200,200,-50.0,0
263,200,200,200,200,10000.0,2
264,250,200,200,200,-50.0,1
265,200,200,200,200,10000.0,3
266,200,250,200,200,-50.0,0
267,200,200,200,200,10000.0,2
268,200,250,200,200,-50.0,0
269,200,200,200,200,10000.0,2
270,250,200,200,200,-50.0,1
271,200,200,200,200,10000.0,3
272,250,200,200,200,-50.0,1
273,200,200,200,200,10000.0,3
274,250,200,200,200,-50.0,1
275,200,200,200,200,10000.0,3
276,250,200,200,200,-50.0,1
277,200,200,200,200,10000.0,3
278,250,200,200,200,-50.0,1
279,200,200,200,200,10000.0,3
280,200,250,200,200,-50.0,0
281,200,200,200,200,10000.0,2
282,250,200,200,200,-50.0,1
283,200,200,200,200,10000.0,3
284,250,200,200,200,-50.0,1
285,200,200,200,200,10000.0,3
286,200,250,200,200,-50.0,0
287,200,200,200,200,10000.0,2
288,250,200,200,200,-50.0,1
289,200,200,200,200,10000.0,3
290,250,200,200,200,-50.0,1
291,200,200,200,200,10000.0,3
292,250,200,200,200,-50.0,1
293,200,200,200,200,10000.0,3
294,200,250,200,200,-50.0,0
295,200,200,200,200,10000.0,2
296,250,200,200,200,-50.0,1
297,200,200,200,200,10000.0,3
298,250,200,200,200,-50.0,1
299,200,200,200,200,10000.0,3
300,250,200,200,200,-50.0,1
301,200,200,200,200,10000.0,3
302,200,250,200,200,-50.0,0
303,200,200,200,200,10000.0,2
304,250,200,200,200,-50.0,1
305,200,200,200,200,10000.0,3
306,200,250,200,200,-50.0,0
307,200,200,200,200,10000.0,2
308,250,200,200,200,-50.0,1
309,200,200,200,200,10000.0,3
310,250,200,200,200,-50.0,1
311,200,200,200,200,10000.0,3
312,250,200,200,200,-50.0,1
313,200,200,200,200,10000.0,3
314,200,150,200,200,-50.0,2
315,200,200,200,200,10000.0,0
316,250,200,200,200,-50.0,1
317,200,200,200,200,10000.0,3
318,250,200,200,200,-50.0,1
319,200,200,200,200,10000.0,3
320,200,250,200,200,-50.0,0
321,200,200,200,200,10000.0,2
322,200,250,200,200,-50.0,0
323,200,200,200,200,10000.0,2
